route_id,obs_len,baseline_neighbor,adapt_neighbor,baseline_cos_dist,adapt_cos_dist,baseline_ade_raw_m,baseline_fde_raw_m,baseline_ade_snapped_m,baseline_fde_snapped_m,adapt_ade_raw_m,adapt_fde_raw_m,adapt_ade_snapped_m,adapt_fde_snapped_m,delta_ade_snapped_m,delta_fde_snapped_m
C001,12,G002,G002,0.090167,0.103617,65.0323,78.9857,65.1233,78.9857,65.0323,78.9857,65.1233,78.9857,0.0,0.0
C001,16,G002,G002,0.089745,0.10252,65.0323,78.9857,65.1233,78.9857,65.0323,78.9857,65.1233,78.9857,0.0,0.0
C001,20,G005,G002,0.092931,0.10718,24.5473,8.5434,24.6553,8.5434,65.0323,78.9857,65.1233,78.9857,40.4679,70.4423
C002,12,C022,C022,0.186812,0.188599,42.3443,16.5511,42.3925,16.5511,42.3443,16.5511,42.3925,16.5511,0.0,0.0
C002,16,C022,C022,0.19419,0.194725,42.3443,16.5511,42.3925,16.5511,42.3443,16.5511,42.3925,16.5511,0.0,0.0
C002,20,C022,C022,0.192603,0.193913,42.3443,16.5511,42.3925,16.5511,42.3443,16.5511,42.3925,16.5511,0.0,0.0
C003,12,C005,C005,0.010005,0.010764,10.254,28.8847,10.5179,28.8847,10.254,28.8847,10.5179,28.8847,0.0,0.0
C003,16,C005,C005,0.005426,0.005888,10.254,28.8847,10.5179,28.8847,10.254,28.8847,10.5179,28.8847,0.0,0.0
C003,20,C005,C005,0.003311,0.00342,10.254,28.8847,10.5179,28.8847,10.254,28.8847,10.5179,28.8847,0.0,0.0
C004,12,C008,C008,0.013817,0.018733,0.6213,0.0,0.8213,0.0,0.6213,0.0,0.8213,0.0,0.0,0.0
C004,16,C008,C008,0.006579,0.009147,0.6213,0.0,0.8213,0.0,0.6213,0.0,0.8213,0.0,0.0,0.0
C004,20,C008,C008,0.002295,0.003155,0.6213,0.0,0.8213,0.0,0.6213,0.0,0.8213,0.0,0.0,0.0
C005,12,C003,C003,0.006823,0.007256,10.254,28.8847,10.4224,28.8847,10.254,28.8847,10.4224,28.8847,0.0,0.0
C005,16,C003,C003,0.004008,0.004328,10.254,28.8847,10.4224,28.8847,10.254,28.8847,10.4224,28.8847,0.0,0.0
C005,20,C003,C003,0.003311,0.00342,10.254,28.8847,10.4224,28.8847,10.254,28.8847,10.4224,28.8847,0.0,0.0
C006,12,G002,G002,0.053032,0.049275,73.1689,92.475,73.2944,92.475,73.1689,92.475,73.2944,92.475,0.0,0.0
C006,16,G002,G002,0.05153,0.04817,73.1689,92.475,73.2944,92.475,73.1689,92.475,73.2944,92.475,0.0,0.0
C006,20,G002,G002,0.050788,0.047704,73.1689,92.475,73.2944,92.475,73.1689,92.475,73.2944,92.475,0.0,0.0
C007,12,C016,C016,0.0436,0.051255,81.2465,35.1754,81.2149,35.1754,81.2465,35.1754,81.2149,35.1754,0.0,0.0
C007,16,C016,C016,0.044181,0.051957,81.2465,35.1754,81.2149,35.1754,81.2465,35.1754,81.2149,35.1754,0.0,0.0
C007,20,C016,C016,0.043608,0.050372,81.2465,35.1754,81.2149,35.1754,81.2465,35.1754,81.2149,35.1754,0.0,0.0
C008,12,C004,C004,0.009165,0.012303,0.6213,0.0,0.8238,0.0,0.6213,0.0,0.8238,0.0,0.0,0.0
C008,16,C004,C004,0.003279,0.00425,0.6213,0.0,0.8238,0.0,0.6213,0.0,0.8238,0.0,0.0,0.0
C008,20,C004,C004,0.002295,0.003155,0.6213,0.0,0.8238,0.0,0.6213,0.0,0.8238,0.0,0.0,0.0
C009,12,C025,C025,0.005198,0.005989,0.1253,0.0,0.3282,0.0,0.1253,0.0,0.3282,0.0,0.0,0.0
C009,16,C025,C025,0.00223,0.002753,0.1253,0.0,0.3282,0.0,0.1253,0.0,0.3282,0.0,0.0,0.0
C009,20,C025,C025,0.001318,0.001916,0.1253,0.0,0.3282,0.0,0.1253,0.0,0.3282,0.0,0.0,0.0
C010,12,C026,C026,0.00475,0.006779,0.5945,0.0,0.7917,0.0,0.5945,0.0,0.7917,0.0,0.0,0.0
C010,16,C026,C026,0.003929,0.00603,0.5945,0.0,0.7917,0.0,0.5945,0.0,0.7917,0.0,0.0,0.0
C010,20,C026,C026,0.003894,0.005628,0.5945,0.0,0.7917,0.0,0.5945,0.0,0.7917,0.0,0.0,0.0
C011,12,C027,C027,0.007174,0.009326,0.5713,0.0,0.6761,0.0,0.5713,0.0,0.6761,0.0,0.0,0.0
C011,16,C027,C027,0.002018,0.002576,0.5713,0.0,0.6761,0.0,0.5713,0.0,0.6761,0.0,0.0,0.0
C011,20,C027,C027,0.000856,0.001308,0.5713,0.0,0.6761,0.0,0.5713,0.0,0.6761,0.0,0.0,0.0
C012,12,C013,C013,0.01529,0.016659,45.0701,130.3039,45.2155,130.3039,45.0701,130.3039,45.2155,130.3039,0.0,0.0
C012,16,C013,C013,0.015205,0.016899,45.0701,130.3039,45.2155,130.3039,45.0701,130.3039,45.2155,130.3039,0.0,0.0
C012,20,C013,C013,0.008089,0.009966,45.0701,130.3039,45.2155,130.3039,45.0701,130.3039,45.2155,130.3039,0.0,0.0
C013,12,C012,C012,0.025319,0.030808,45.0701,130.3039,44.9732,130.3039,45.0701,130.3039,44.9732,130.3039,0.0,0.0
C013,16,C012,C012,0.018805,0.023033,45.0701,130.3039,44.9732,130.3039,45.0701,130.3039,44.9732,130.3039,0.0,0.0
C013,20,C012,C012,0.008089,0.009966,45.0701,130.3039,44.9732,130.3039,45.0701,130.3039,44.9732,130.3039,0.0,0.0
C014,12,G019,G019,0.031148,0.034535,15.7946,19.0121,15.861,19.0121,15.7946,19.0121,15.861,19.0121,0.0,0.0
C014,16,G019,G019,0.029329,0.032798,15.7946,19.0121,15.861,19.0121,15.7946,19.0121,15.861,19.0121,0.0,0.0
C014,20,G019,G019,0.032141,0.036438,15.7946,19.0121,15.861,19.0121,15.7946,19.0121,15.861,19.0121,0.0,0.0
C015,12,C007,C016,0.085441,0.098931,97.5061,123.2109,97.5444,123.2109,61.6393,107.5821,61.6307,107.5821,-35.9137,-15.6288
C015,16,C007,C007,0.079063,0.096358,97.5061,123.2109,97.5444,123.2109,97.5061,123.2109,97.5444,123.2109,0.0,0.0
C015,20,C007,C007,0.077258,0.09311,97.5061,123.2109,97.5444,123.2109,97.5061,123.2109,97.5444,123.2109,0.0,0.0
C016,12,C007,C007,0.042803,0.05049,81.2465,35.1754,81.2611,35.1754,81.2465,35.1754,81.2611,35.1754,0.0,0.0
C016,16,C007,C007,0.043261,0.050462,81.2465,35.1754,81.2611,35.1754,81.2465,35.1754,81.2611,35.1754,0.0,0.0
C016,20,C007,C007,0.043608,0.050372,81.2465,35.1754,81.2611,35.1754,81.2465,35.1754,81.2611,35.1754,0.0,0.0
C017,12,G011,G011,0.015923,0.019634,34.5183,103.4633,34.4654,103.4633,34.5183,103.4633,34.4654,103.4633,0.0,0.0
C017,16,G011,G011,0.008636,0.010694,34.5183,103.4633,34.4654,103.4633,34.5183,103.4633,34.4654,103.4633,0.0,0.0
C017,20,C020,C020,0.003578,0.004513,42.792,120.1833,42.898,120.1833,42.792,120.1833,42.898,120.1833,0.0,0.0
C018,12,C020,C020,0.012029,0.015234,9.4343,28.8847,9.5569,28.8847,9.4343,28.8847,9.5569,28.8847,0.0,0.0
C018,16,C020,C020,0.004669,0.006172,9.4343,28.8847,9.5569,28.8847,9.4343,28.8847,9.5569,28.8847,0.0,0.0
C018,20,C020,C020,0.000668,0.000908,9.4343,28.8847,9.5569,28.8847,9.4343,28.8847,9.5569,28.8847,0.0,0.0
C019,12,G010,G006,0.066034,0.074744,0.7123,0.0,0.8129,0.0,102.2699,102.9472,102.1708,102.9472,101.3579,102.9472
C019,16,G010,G010,0.054534,0.070456,0.7123,0.0,0.8129,0.0,0.7123,0.0,0.8129,0.0,0.0,0.0
C019,20,G010,G010,0.052239,0.070748,0.7123,0.0,0.8129,0.0,0.7123,0.0,0.8129,0.0,0.0,0.0
C020,12,C017,C017,0.012128,0.015498,42.792,120.1833,43.0301,120.1833,42.792,120.1833,43.0301,120.1833,0.0,0.0
C020,16,C017,C017,0.004809,0.006483,42.792,120.1833,43.0301,120.1833,42.792,120.1833,43.0301,120.1833,0.0,0.0
C020,20,C018,C018,0.000668,0.000908,9.4343,28.8847,9.4945,28.8847,9.4343,28.8847,9.4945,28.8847,0.0,0.0
C021,12,C018,C018,0.019089,0.02684,54.6055,133.5319,54.6625,133.5319,54.6055,133.5319,54.6625,133.5319,0.0,0.0
C021,16,C018,C018,0.011722,0.017357,54.6055,133.5319,54.6625,133.5319,54.6055,133.5319,54.6625,133.5319,0.0,0.0
C021,20,C018,C018,0.011021,0.016354,54.6055,133.5319,54.6625,133.5319,54.6055,133.5319,54.6625,133.5319,0.0,0.0
C022,12,C023,C023,0.026348,0.035388,56.7662,126.4944,56.8429,126.4944,56.7662,126.4944,56.8429,126.4944,0.0,0.0
C022,16,C023,C023,0.016207,0.022093,56.7662,126.4944,56.8429,126.4944,56.7662,126.4944,56.8429,126.4944,0.0,0.0
C022,20,C023,C023,0.014618,0.019641,56.7662,126.4944,56.8429,126.4944,56.7662,126.4944,56.8429,126.4944,0.0,0.0
C023,12,C022,C022,0.021134,0.029312,56.7662,126.4944,56.8195,126.4944,56.7662,126.4944,56.8195,126.4944,0.0,0.0
C023,16,C022,C022,0.015617,0.020613,56.7662,126.4944,56.8195,126.4944,56.7662,126.4944,56.8195,126.4944,0.0,0.0
C023,20,C022,C022,0.014618,0.019641,56.7662,126.4944,56.8195,126.4944,56.7662,126.4944,56.8195,126.4944,0.0,0.0
C024,12,C027,C027,0.04662,0.06,10.4633,19.0121,10.5763,19.0121,10.4633,19.0121,10.5763,19.0121,0.0,0.0
C024,16,C027,C027,0.032893,0.043737,10.4633,19.0121,10.5763,19.0121,10.4633,19.0121,10.5763,19.0121,0.0,0.0
C024,20,C027,C027,0.022933,0.031222,10.4633,19.0121,10.5763,19.0121,10.4633,19.0121,10.5763,19.0121,0.0,0.0
C025,12,G018,G018,0.008732,0.011323,8.0931,9.9518,8.2518,9.9518,8.0931,9.9518,8.2518,9.9518,0.0,0.0
C025,16,C009,C009,0.005399,0.006883,0.1253,0.0,0.3265,0.0,0.1253,0.0,0.3265,0.0,0.0,0.0
C025,20,C009,C009,0.001318,0.001916,0.1253,0.0,0.3265,0.0,0.1253,0.0,0.3265,0.0,0.0,0.0
C026,12,C010,G018,0.008718,0.010119,0.5945,0.0,0.7743,0.0,0.753,0.0,0.8264,0.0,0.0521,0.0
C026,16,C010,C010,0.006552,0.008391,0.5945,0.0,0.7743,0.0,0.5945,0.0,0.7743,0.0,0.0,0.0
C026,20,C010,C010,0.003894,0.005628,0.5945,0.0,0.7743,0.0,0.5945,0.0,0.7743,0.0,0.0,0.0
C027,12,C011,C011,0.012673,0.017263,0.5713,0.0,0.6528,0.0,0.5713,0.0,0.6528,0.0,0.0,0.0
C027,16,C011,C011,0.005304,0.007418,0.5713,0.0,0.6528,0.0,0.5713,0.0,0.6528,0.0,0.0,0.0
C027,20,C011,C011,0.000856,0.001308,0.5713,0.0,0.6528,0.0,0.5713,0.0,0.6528,0.0,0.0,0.0
C028,12,G017,G017,0.046437,0.058272,11.9996,16.5511,12.143,16.5511,11.9996,16.5511,12.143,16.5511,0.0,0.0
C028,16,G017,G017,0.044839,0.056076,11.9996,16.5511,12.143,16.5511,11.9996,16.5511,12.143,16.5511,0.0,0.0
C028,20,G017,G017,0.043466,0.054246,11.9996,16.5511,12.143,16.5511,11.9996,16.5511,12.143,16.5511,0.0,0.0
G001,12,G011,G011,0.168362,0.213959,69.3732,3.1779,69.3253,3.1779,69.3732,3.1779,69.3253,3.1779,0.0,0.0
G001,16,G011,G011,0.167882,0.21736,69.3732,3.1779,69.3253,3.1779,69.3732,3.1779,69.3253,3.1779,0.0,0.0
G001,20,G011,G011,0.169571,0.217396,69.3732,3.1779,69.3253,3.1779,69.3732,3.1779,69.3253,3.1779,0.0,0.0
G002,12,C006,C006,0.048339,0.047063,73.1689,92.475,73.2676,92.475,73.1689,92.475,73.2676,92.475,0.0,0.0
G002,16,C006,C006,0.050379,0.048274,73.1689,92.475,73.2676,92.475,73.1689,92.475,73.2676,92.475,0.0,0.0
G002,20,C006,C006,0.050788,0.047704,73.1689,92.475,73.2676,92.475,73.1689,92.475,73.2676,92.475,0.0,0.0
G003,12,G007,G007,0.040539,0.038287,56.2685,130.3039,56.3187,130.3039,56.2685,130.3039,56.3187,130.3039,0.0,0.0
G003,16,G007,G007,0.023203,0.022782,56.2685,130.3039,56.3187,130.3039,56.2685,130.3039,56.3187,130.3039,0.0,0.0
G003,20,G007,G007,0.050785,0.051143,56.2685,130.3039,56.3187,130.3039,56.2685,130.3039,56.3187,130.3039,0.0,0.0
G004,12,G007,G007,0.170906,0.175191,97.8572,145.086,97.8626,145.086,97.8572,145.086,97.8626,145.086,0.0,0.0
G004,16,G007,G007,0.166947,0.176507,97.8572,145.086,97.8626,145.086,97.8572,145.086,97.8626,145.086,0.0,0.0
G004,20,G007,G007,0.158448,0.167942,97.8572,145.086,97.8626,145.086,97.8572,145.086,97.8626,145.086,0.0,0.0
G005,12,G020,G020,0.054496,0.067063,18.3084,27.5241,18.3403,27.5241,18.3084,27.5241,18.3403,27.5241,0.0,0.0
G005,16,G020,G020,0.051301,0.062274,18.3084,27.5241,18.3403,27.5241,18.3084,27.5241,18.3403,27.5241,0.0,0.0
G005,20,G020,G020,0.050631,0.061526,18.3084,27.5241,18.3403,27.5241,18.3084,27.5241,18.3403,27.5241,0.0,0.0
G006,12,C007,C007,0.049877,0.056188,50.6968,133.3524,50.7237,133.3524,50.6968,133.3524,50.7237,133.3524,0.0,0.0
G006,16,C007,C007,0.050209,0.057111,50.6968,133.3524,50.7237,133.3524,50.6968,133.3524,50.7237,133.3524,0.0,0.0
G006,20,G010,C007,0.049684,0.056175,102.55,102.9472,102.7069,102.9472,50.6968,133.3524,50.7237,133.3524,-51.9832,30.4052
G007,12,G009,G009,0.055721,0.050909,58.4194,130.1676,58.4468,130.1676,58.4194,130.1676,58.4468,130.1676,0.0,0.0
G007,16,G009,G009,0.04857,0.044214,58.4194,130.1676,58.4468,130.1676,58.4194,130.1676,58.4468,130.1676,0.0,0.0
G007,20,G009,G009,0.047013,0.042487,58.4194,130.1676,58.4468,130.1676,58.4194,130.1676,58.4468,130.1676,0.0,0.0
G008,12,G016,G016,0.059434,0.077684,64.3391,121.0612,64.3474,121.0612,64.3391,121.0612,64.3474,121.0612,0.0,0.0
G008,16,G016,G016,0.061161,0.080083,64.3391,121.0612,64.3474,121.0612,64.3391,121.0612,64.3474,121.0612,0.0,0.0
G008,20,G016,G016,0.059127,0.077578,64.3391,121.0612,64.3474,121.0612,64.3391,121.0612,64.3474,121.0612,0.0,0.0
G009,12,C013,C013,0.03757,0.041142,51.1498,130.1676,51.2531,130.1676,51.1498,130.1676,51.2531,130.1676,0.0,0.0
G009,16,C013,C013,0.043464,0.046596,51.1498,130.1676,51.2531,130.1676,51.1498,130.1676,51.2531,130.1676,0.0,0.0
G009,20,C012,C012,0.032831,0.035613,7.373,1.1024,7.6283,1.1024,7.373,1.1024,7.6283,1.1024,0.0,0.0
G010,12,G013,G013,0.04037,0.061554,88.3138,86.1626,88.5049,86.1626,88.3138,86.1626,88.5049,86.1626,0.0,0.0
G010,16,G013,C021,0.042361,0.054582,88.3138,86.1626,88.5049,86.1626,49.6602,29.9471,49.7306,29.9471,-38.7743,-56.2155
G010,20,C021,C021,0.037437,0.045419,49.6602,29.9471,49.7306,29.9471,49.6602,29.9471,49.7306,29.9471,0.0,0.0
G011,12,C017,C017,0.021194,0.023913,34.5183,103.4633,34.5597,103.4633,34.5183,103.4633,34.5597,103.4633,0.0,0.0
G011,16,C017,C017,0.017319,0.019811,34.5183,103.4633,34.5597,103.4633,34.5183,103.4633,34.5597,103.4633,0.0,0.0
G011,20,C017,C017,0.009293,0.011021,34.5183,103.4633,34.5597,103.4633,34.5183,103.4633,34.5597,103.4633,0.0,0.0
G012,12,C014,C014,0.072425,0.100774,100.6646,82.7082,100.7047,82.7082,100.6646,82.7082,100.7047,82.7082,0.0,0.0
G012,16,C014,C014,0.073347,0.104009,100.6646,82.7082,100.7047,82.7082,100.6646,82.7082,100.7047,82.7082,0.0,0.0
G012,20,C014,C014,0.073716,0.106234,100.6646,82.7082,100.7047,82.7082,100.6646,82.7082,100.7047,82.7082,0.0,0.0
G013,12,G017,G017,0.052798,0.066569,45.5282,61.4504,45.6115,61.4504,45.5282,61.4504,45.6115,61.4504,0.0,0.0
G013,16,G010,G017,0.051069,0.065608,88.3138,86.1626,88.3623,86.1626,45.5282,61.4504,45.6115,61.4504,-42.7508,-24.7122
G013,20,G010,G017,0.049662,0.066133,88.3138,86.1626,88.3623,86.1626,45.5282,61.4504,45.6115,61.4504,-42.7508,-24.7122
G014,12,C025,C025,0.006461,0.007968,1.153,0.0,1.2214,0.0,1.153,0.0,1.2214,0.0,0.0,0.0
G014,16,C009,C009,0.00324,0.003907,1.0596,0.0,1.1382,0.0,1.0596,0.0,1.1382,0.0,0.0,0.0
G014,20,C009,C009,0.00144,0.002046,1.0596,0.0,1.1382,0.0,1.0596,0.0,1.1382,0.0,0.0,0.0
G015,12,C003,C003,0.057292,0.049792,15.4984,28.8847,15.5043,28.8847,15.4984,28.8847,15.5043,28.8847,0.0,0.0
G015,16,C003,C003,0.055479,0.048721,15.4984,28.8847,15.5043,28.8847,15.4984,28.8847,15.5043,28.8847,0.0,0.0
G015,20,C003,C003,0.056584,0.049919,15.4984,28.8847,15.5043,28.8847,15.4984,28.8847,15.5043,28.8847,0.0,0.0
G016,12,G008,G008,0.06538,0.085198,64.3391,121.0612,64.2675,121.0612,64.3391,121.0612,64.2675,121.0612,0.0,0.0
G016,16,G008,G008,0.061973,0.080709,64.3391,121.0612,64.2675,121.0612,64.3391,121.0612,64.2675,121.0612,0.0,0.0
G016,20,G008,G008,0.059127,0.077578,64.3391,121.0612,64.2675,121.0612,64.3391,121.0612,64.2675,121.0612,0.0,0.0
G017,12,C028,C028,0.046113,0.057221,11.9996,16.5511,12.0808,16.5511,11.9996,16.5511,12.0808,16.5511,0.0,0.0
G017,16,C028,C028,0.043317,0.053932,11.9996,16.5511,12.0808,16.5511,11.9996,16.5511,12.0808,16.5511,0.0,0.0
G017,20,C028,C028,0.043466,0.054246,11.9996,16.5511,12.0808,16.5511,11.9996,16.5511,12.0808,16.5511,0.0,0.0
G018,12,C026,C026,0.007376,0.00936,0.753,0.0,0.8703,0.0,0.753,0.0,0.8703,0.0,0.0,0.0
G018,16,C026,C026,0.00463,0.005845,0.753,0.0,0.8703,0.0,0.753,0.0,0.8703,0.0,0.0,0.0
G018,20,C026,C026,0.00515,0.006165,0.753,0.0,0.8703,0.0,0.753,0.0,0.8703,0.0,0.0,0.0
G019,12,C014,C014,0.036552,0.042262,15.7946,19.0121,15.5842,19.0121,15.7946,19.0121,15.5842,19.0121,0.0,0.0
G019,16,C014,C014,0.03387,0.038712,15.7946,19.0121,15.5842,19.0121,15.7946,19.0121,15.5842,19.0121,0.0,0.0
G019,20,C014,C014,0.032141,0.036438,15.7946,19.0121,15.5842,19.0121,15.7946,19.0121,15.5842,19.0121,0.0,0.0
G020,12,G005,G005,0.055924,0.069257,18.3084,27.5241,18.2505,27.5241,18.3084,27.5241,18.2505,27.5241,0.0,0.0
G020,16,G005,G005,0.053321,0.066245,18.3084,27.5241,18.2505,27.5241,18.3084,27.5241,18.2505,27.5241,0.0,0.0
G020,20,G005,G005,0.050631,0.061526,18.3084,27.5241,18.2505,27.5241,18.3084,27.5241,18.2505,27.5241,0.0,0.0
